twitter,domain,name,type,gender
katyperry,katyperry.com,KATY PERRY,celebrity,F
justinbieber,smarturl.it,Justin Bieber,celebrity,M
taylorswift13,grmypro.co,Taylor Swift,celebrity,F
rihanna,rihannanow.com,Rihanna,celebrity,F
ladygaga,,The Countess,celebrity,F
jtimberlake,justintimberlake.com,Justin Timberlake,celebrity,M
TheEllenShow,ellentube.com,Ellen DeGeneres,celebrity,F
britneyspears,britney.lk,Britney Spears,celebrity,F
Cristiano,,Cristiano Ronaldo,celebrity,M
KimKardashian,AppStore.com,Kim Kardashian West,celebrity,F
shakira,rov.io,Shakira,celebrity,F
selenagomez,smarturl.it,Selena Gomez,celebrity,F
JLo,jlo.lk,Jennifer Lopez,celebrity,F
ArianaGrande,smarturl.it,Ariana Grande,celebrity,F
ddlovato,demilovato.com,Demi Lovato,celebrity,F
jimmyfallon,tonightshow.com,jimmy fallon,celebrity,M
Oprah,oprah.com,Oprah Winfrey,celebrity,F
Pink,,P!nk,celebrity,F
Drake,octobersveryown.com,Drizzy,celebrity,M
Harry_Styles,onedirectionmusic.com,Harry Styles,celebrity,M
onedirection,onedirectionmusic.com,One Direction,celebrity,M
BillGates,gatesnotes.com,Bill Gates,celebrity,M
KingJames,LeBronJames.com,LeBron James,celebrity,M
LilTunechi,youngmoney.com,Lil Wayne WEEZY F,celebrity,M
BrunoMars,brunomars.com,Bruno Mars,celebrity,M
Adele,adele.com,Adele,celebrity,F
NiallOfficial,onedirectionmusic.com,Niall Horan,celebrity,M
MileyCyrus,,Miley Ray Cyrus,celebrity,F
aliciakeys,aliciakeys.com,Alicia Keys,celebrity,F
KevinHart4real,whatnowtour.com,Kevin Hart,celebrity,M
wizkhalifa,wizkhalifa.com,Cameron,celebrity,M
pitbull,youtube.com,Pitbull,celebrity,M
LiamPayne,onedirectionmusic.com,Liam,celebrity,M
Louis_Tomlinson,,Louis Tomlinson,celebrity,M
NICKIMINAJ,,NICKI MINAJ,celebrity,F
Eminem,eminem.com,Marshall Mathers,celebrity,M
EmmaWatson,,Emma Watson,celebrity,F
AvrilLavigne,smarturl.it,Avril Lavigne,celebrity,F
ActuallyNPH,,Neil Patrick Harris,celebrity,M
danieltosh,danieltosh.com,daniel tosh,celebrity,M
davidguetta,davidguetta.com,David Guetta,celebrity,M
ConanOBrien,teamcoco.com,"Conan O'Brien",celebrity,M
SrBachchan,srbachchan.tumblr.com,Amitabh Bachchan,celebrity,M
aplusk,,ashton kutcher,celebrity,M
khloekardashian,khloewithak.com,Khloé,celebrity,F
kourtneykardash,,Kourtney Kardashian,celebrity,F
zaynmalik,,zayn,celebrity,M
iamsrk,,Shah Rukh Khan,celebrity,M
coldplay,coldplay.com,Coldplay,celebrity,M
MariahCarey,mariahcarey.com,Mariah Carey,celebrity,F
edsheeran,,Ed Sheeran,celebrity,M
xtina,christinaaguilera.com,Christina Aguilera,celebrity,F
JimCarrey,jimcarrey.com,Jim Carrey,celebrity,M
kanyewest,KANYEWEST.COM,KANYE WEST,celebrity,M
chrisbrown,chrisbrownworld.com,Chris Brown,celebrity,M
aamir_khan,aamirkhan.com,Aamir Khan,celebrity,M
BeingSalmanKhan,,Salman Khan,celebrity,M
agnezmo,agnezmo.com,AGNEZ MO,celebrity,F
Beyonce,beyonce.com,Beyoncé Knowles,celebrity,F
blakeshelton,blakeshelton.com,Blake Shelton,celebrity,M
RyanSeacrest,ryanseacrest.com,Ryan Seacrest,celebrity,M
LeoDiCaprio,leonardodicaprio.com,Leonardo DiCaprio,celebrity,M
ParisHilton,ParisHilton.com,Paris Hilton,celebrity,F
iamwill,will.i.am,will.i.am,celebrity,M
KendallJenner,,Kendall Jenner,celebrity,F
ashleytisdale,thehautemess.com,AshleyTisdaleFrench,celebrity,F
tyrabanks,tyra.com,Tyra Banks,celebrity,F
SnoopDogg,YouTube.com,Snoop Dogg,celebrity,M
SimonCowell,,Simon Cowell,celebrity,M
WayneRooney,waynerooney.com,Wayne Rooney,celebrity,M
KDTrey5,,Kevin Durant,celebrity,M
maroon5,maroon5.com,Maroon 5,celebrity,M
KylieJenner,,Kylie Jenner,celebrity,F
deepikapadukone,,Deepika Padukone,celebrity,F
stephenfry,stephenfry.com,Stephen Fry,celebrity,M
charliesheen,charliesheen.com,Charlie Sheen,celebrity,M
iHrithik,,Hrithik Roshan,celebrity,M
priyankachopra,iampriyankachopra.com,PRIYANKA ,celebrity,F
3gerardpique,,Gerard Piqué,celebrity,M
ZacEfron,zacefron.com,Zac Efron,celebrity,M
carlyraejepsen,carlyraemusic.com,Carly Rae Jepsen,celebrity,F
rustyrockets,russellbrand.com,Russell Brand,celebrity,M
iamdiddy,Smarturl.it,Sean Diddy Combs,celebrity,M
Ludacris,ludaversal.com,Ludacris,celebrity,M
SHAQ,,SHAQ,celebrity,M
paulocoelho,paulocoelhoblog.com,Paulo Coelho,celebrity,M
kelly_clarkson,kellyclarkson.com,Kelly Clarkson,celebrity,F
tomhanks,playtone.com,Tom Hanks,celebrity,M
Usher,chains.tidal.com,Usher Raymond IV,celebrity,M
akshaykumar,,Akshay Kumar,celebrity,M
LunaMaya26,itslunamaya.com,luna maya,celebrity,F
rickygervais,rickygervais.com,Ricky Gervais,celebrity,M
MesutOzil1088,mesutoezil.com,Mesut Özil,celebrity,M
nickjonas,nickjonas.com,Nick Jonas,celebrity,M
XabiAlonso,,Xabi Alonso,celebrity,M
TheRock,,Dwayne Johnson,celebrity,M
enriqueiglesias,enriqueiglesias.com,Enrique Iglesias,celebrity,M
StephenAtHome,,Stephen Colbert,celebrity,M
aguerosergiokun,sergioaguero.com,Sergio Kun Aguero,celebrity,M
VictoriaJustice,vjustice.co,Victoria Justice,celebrity,F
FALCAO,,Radamel Falcao,celebrity,M
lindsaylohan,official.lindsaylohan.com,Lindsay Lohan,celebrity,F
arrahman,arrahman.com,A.R.Rahman,celebrity,M
AustinMahone,,Austin Mahone,celebrity,M
victoriabeckham,victoriabeckham.com,Victoria Beckham,celebrity,F
jamesdrodriguez,jamesrodriguez.com.co,James Rodríguez,celebrity,M
TreySongz,smarturl.it,Trey Songz,celebrity,M
SofiaVergara,sofiavergara.com,Sofia Vergara,celebrity,M
jessicaalba,,Jessica Alba,celebrity,F
daddy_yankee,youtu.be,Daddy Yankee,celebrity,M
LMFAO,partyrockpeople.com,LMFAO,celebrity,M
imVkohli,,Virat Kohli ,celebrity,M
JessieJ,jessiejofficial.com,Jessie J,celebrity,F
annecurtissmith,anne.ph,Anne Curtis-Smith,celebrity,F
sachin_rt,,sachin tendulkar,celebrity,M
SethMacFarlane,,Seth MacFarlane,celebrity,M
MarcAnthony,marcanthonyonline.com,Marc Anthony,celebrity,M
cesc4official,cescfabregas.com,Cesc Fàbregas Soler,celebrity,M
50cent,smarturl.it,50cent,celebrity,M
Pharrell,smarturl.it,Pharrell Williams,celebrity,M
joejonas,republicrec.co,J O E  J O N A S,celebrity,M
BigSean,uknowbigsean.com,Big Sean,celebrity,M
5SOS,,5 Seconds of Summer,celebrity,M
kobebryant,kobebryant.com,Kobe Bryant,celebrity,M
juniorbachchan,,Abhishek Bachchan ,celebrity,M
channingtatum,channingtatumunwrapped.com,Channing Tatum,celebrity,M
Persie_Official,robinvanpersie.com,Robin van Persie,celebrity,M
sonamakapoor,,Sonam Kapoor,celebrity,F
CodySimpson,radi.al,Cody Simpson,celebrity,M
GarethBale11,,Gareth Bale,celebrity,M
JohnCena,,John Cena,celebrity,M
JColeNC,dreamvillain.net,J. Cole,celebrity,M
MirandaCosgrove,,Miranda Cosgrove,celebrity,F
johnlegend,johnlegend.com,John Legend,celebrity,M
EvaLongoria,jcp.is,Eva Longoria,celebrity,F
karanjohar,,Karan Johar,celebrity,M
Guaje7Villa,davidvilla7.com,David Villa,celebrity,M
CherLloyd,,Cher Lloyd,celebrity,F
JessicaSimpson,jessicasimpson.com,Jessica Simpson,celebrity,F
LittleMix,little-mix.com,Little Mix,celebrity,F
carmeloanthony,THISISMELO.com,Carmelo Anthony,celebrity,M
SarahKSilverman,youtube.com,Sarah Silverman,celebrity,F
shahidkapoor,,Shaandaar Kapoor,celebrity,M
Tyga,itun.es,T-Raww,celebrity,M
snooki,thesnookishop.com,Nicole Polizzi,celebrity,F
ZooeyDeschanel,sheandhim.com,zooey deschanel,celebrity,F
simonpegg,simonpegg.net,Pegg News,celebrity,M
NeYoCompound,,NE-YO,celebrity,M
CalvinHarris,,Calvin Harris,celebrity,M
richardbranson,virgin.com,Richard Branson,celebrity,M
ciara,smarturl.it,Ciara,celebrity,F
SteveMartinToGo,stevemartin.com,Steve Martin,celebrity,M
ollyofficial,smarturl.it,Olly Murs,celebrity,M
KELLYROWLAND,KellyRowland.com,KELENDRIA ROWLAND,celebrity,F
Fearnecotton,officialfearnecotton.com,fearne cotton,celebrity,F
rioferdy5,5mag.co,Rio Ferdinand,celebrity,M
FloydMayweather,themoneyteam.com,Floyd Mayweather,celebrity,M
Luke5SOS,,Luke Hemmings,celebrity,M
inijedar,jessicaiskandar.com,Jessica Iskandar,celebrity,F
andersoncooper,andersoncooper.com,Anderson Cooper,celebrity,M
FarOutAkhtar,excelmovies.com,Farhan Akhtar,celebrity,M
jennettemccurdy,,Jennette McCurdy,celebrity,F
bellathorne,imdb.com,bella thorne,celebrity,F
hollywills,officialhollywilloughby.com,Holly Willoughby,celebrity,F
Tip,grandhustlegang.com,TI,celebrity,M
PerezHilton,PerezHilton.com,Perez Hilton,celebrity,M
DwightHoward,dwighthoward.com,Dwight Howard,celebrity,M
CHAYANNEMUSIC,chayanne.com,CHAYANNE,celebrity,M
aliaa08,,SHAANDAAR Alia,celebrity,F
Zendaya,crowdrise.com,Zendaya,celebrity,F
jimmykimmel,youtube.com,Jimmy Kimmel,celebrity,M
RealHughJackman,,Hugh Jackman,celebrity,M
IGGYAZALEA,iggyazalea.com,IGGY AZALEA,celebrity,F
AnushkaSharma,,Anushka Sharma,celebrity,F
LanaDelRey,lanadelrey.com,Lana Del Rey,celebrity,F
sonakshisinha,,Sonakshi Sinha,celebrity,F
jk_rowling,jkrowling.com,J.K. Rowling,celebrity,F
official_flo,,FLO RIDA,celebrity,M
CherylOfficial,,Cheryl,celebrity,F
officialjaden,MSFTSrep.com,Jaden Smith,celebrity,M
ParineetiChopra,,Parineeti Chopra,celebrity,F
RobertDowneyJr,,Robert Downey Jr,celebrity,M
jimmycarr,jimmycarr.com,Jimmy Carr,celebrity,M
TomCruise,TomCruise.com,Tom Cruise,celebrity,M
kendricklamar,txdxe.com,Kendrick Lamar,celebrity,M
serenawilliams,serenawilliams.com,Serena Williams,celebrity,F
adamlevine,maroon5.com,Adam Levine,celebrity,M
JeremyClarkson,,Jeremy Clarkson,celebrity,M
VanessaHudgens,vanessahudgens.tumblr.com,Vanessa Hudgens,celebrity,F
Michael5SOS,5sosf.am,Michael Clifford,celebrity,M
elliegoulding,elliegoulding.com,Ellie Goulding,celebrity,F
thekiranbedi,kiranbedi.com,Kiran Bedi,celebrity,F
raisa6690,,Raisa Andriana,celebrity,F
lilyallen,lilyallenmusic.com,lily,celebrity,F
AnupamPkher,actorprepares.net,Anupam Kher,celebrity,M
MichelleObama,barackobama.com,Michelle Obama,celebrity,F
maryjblige,maryjblige.com,Mary J. Blige,celebrity,F
justdemi,,Demi Moore,celebrity,F
SamuelLJackson,samuelljackson.com,Samuel L. Jackson,celebrity,M
NicoleScherzy,nicolescherzinger.com,Nicole Scherzinger,celebrity,F
RitaOra,smarturl.it,Rita Ora,celebrity,F
mirandalambert,mirandalambert.com,Miranda Lambert,celebrity,F
bclsinclair,bclofficial.com,bunga citra lestari,celebrity,F
RedHourBen,,Ben Stiller,celebrity,M
mindykaling,bit.ly,Mindy Kaling,celebrity,F
LukeBryanOnline,umgn.us,Luke Bryan,celebrity,M
MacMiller,macmillerswebsite.com,Mac,celebrity,M
D_DeGea,degea1.com,David De Gea,celebrity,M
juanmata8,juanmata8.com,Juan Mata García,celebrity,M
TigerWoods,TigerWoods.com,Tiger Woods,celebrity,M
MikeTyson,miketyson.com,Mike Tyson,celebrity,M
LennyKravitz,lennykravitz.com,Lenny Kravitz,celebrity,M
kevinjonas,yoodapp.com,kevin jonas,celebrity,M
JonahHill,,Jonah Hill,celebrity,M
DwyaneWade,dwyanewade.com,DWade,celebrity,M
nicolerichie,,Nicole Richie,celebrity,F
linkinpark,linkinpark.com,LINKIN PARK,celebrity,M
HilaryDuff,smarturl.it,Hilary Duff,celebrity,M
ImRaina,,Suresh Raina,celebrity,M
RNTata2000,,Ratan N. Tata,celebrity,M
AnnaKendrick47,,Anna Kendrick,celebrity,F
AlanCarr,alancarr.net,Alan Carr,celebrity,M
lucyhale,lucyhale.com,Lucy Hale,celebrity,F
bridgitmendler,,Bridgit Mendler,celebrity,F
JohnCleese,johncleese.com,John Cleese,celebrity,M
souljaboy,itunes.apple.com,"Soulja Boy Tell 'Em",celebrity,M
carrieunderwood,carrieunderwoodofficial.com,Carrie Underwood,celebrity,F
DjokerNole,mobile.novakdjokovic.com,Novak Djokovic,celebrity,M
tyleroakley,youtu.be,Tyler Oakley,celebrity,M
johngreen,johngreenbooks.com,John Green,celebrity,M
BillSimmons,grantland.com,Bill Simmons,celebrity,M
llcoolj,m.kohls.com,Instagram  @LLCOOLJ,celebrity,M
LeaMichele,,Lea Michele,celebrity,F
iamsuperbianca,iamsuperbianca.com,Bianca Gonzalez,celebrity,F
msdhoni,,Mahendra Singh Dhoni,celebrity,M
piersmorgan,,Piers Morgan,celebrity,M
Skrillex,,SKRILLEX,celebrity,M
virendersehwag,sehwagworld.com,Virender Sehwag,celebrity,M
Lord_Sugar,,Lord Sugar,celebrity,M
CP3,chrispaul3.com,Chris Paul,celebrity,M
iamjamiefoxx,jamiefoxxmusic.com,Jamie Foxx,celebrity,M
gadelmaleh,gadelmaleh.com,Gad Elmaleh,celebrity,M
MarceloM12,,Marcelo Vieira,celebrity,M
yelyahwilliams,smarturl.it,hayley from Paramore,celebrity,F
SteveCarell,,Steve Carell,celebrity,M
neiltyson,haydenplanetarium.org,Neil deGrasse Tyson,celebrity,M
ShawnMendes,,Shawn Mendes,celebrity,M
TheVijayMallya,,Vijay Mallya,celebrity,M
Ashton5SOS,hiorheyrecords.com,Ashton Irwin,celebrity,M
Riteishd,,Riteish Deshmukh ,celebrity,M
RealLamarOdom,,LAMAR ODOM,celebrity,M
RandyOrton,,Randy Orton,celebrity,M
DjKingAssassin,djkingassassin.com,DJ KING ASSASSIN,celebrity,M
DJPaulyD,DJPaulyD.com,DJ Pauly D,celebrity,M
KevinSpacey,kevinspacey.com,Kevin Spacey,celebrity,M
OzzyOsbourne,ozzy.com,Ozzy Osbourne,celebrity,M
AdamSchefter,,Adam Schefter,celebrity,M
GaryLineker,,Gary Lineker,celebrity,M
JordinSparks,smarturl.it,Jordin Sparks,celebrity,F
rainnwilson,ow.ly,RainnWilson,celebrity,M
montesjulia,,Julia Montes,celebrity,F
hazardeden10,,Eden hazard,celebrity,M
ajaydevgn,,Ajay Devgn,celebrity,M
MirandaKerr,mirandakerr.com,Miranda Kerr,celebrity,F
GaryBarlow,garybarlow.com,Gary Barlow,celebrity,M
TheShilpaShetty,bestdealtv.in,SHILPA SHETTY KUNDRA,celebrity,F
BillCosby,BillCosby.com,Bill Cosby,celebrity,M
tonyhawk,about.me,Tony Hawk,celebrity,M
noaheverett,pingly.com,Noah Everett,celebrity,M
tylerperry,tylerperry.com,Tyler Perry,celebrity,M
bipsluvurself,bipashabasunet.com,Bipasha Basu,celebrity,F
Caradelevingne,iamcaradelevingne.tumblr.com,Cara Delevingne,celebrity,F
galifianakisz,zachgalifianakis.com,zach galifianakis,celebrity,M
Nelly_Mo,nelly.net,Nelly_Mo,celebrity,M
DebbyRyan,debbyryan.tumblr.com,DΞΒΒΥ RΥΛΠ,celebrity,F
KellyOsbourne,kellyosbourne.com,Kelly Osbourne,celebrity,F
JoelOsteen,JoelOsteen.com,Joel Osteen,celebrity,M
dylanobrien,imdb.com,"Dylan O'Brien",celebrity,M
KeriHilson,,Keri Hilson,celebrity,F
realpreityzinta,,Preity zinta,celebrity,F
rogerfederer,rogerfederer.com,Roger Federer,celebrity,M
lorde,lordemusic.tumblr.com,Lorde,celebrity,F
GreenDay,greenday.com,Green Day,celebrity,M
jackwhitehall,jackwhitehall.com,Jack Whitehall,celebrity,M
alyankovic,weirdal.com,Al Yankovic,celebrity,M
Jenna_Marbles,youtube.com,Jenna Mourey/Marbles,celebrity,F
shreyaghoshal,shreyaghoshal.com,Shreya Ghoshal,celebrity,F
wyclef,Wyclef.com,Wyclef Jean,celebrity,M
scooterbraun,scooterbraun.com,Scooter Braun,celebrity,M
tiesto,tiesto.com,Tiësto,celebrity,M
AshBenzo,ashleybenson.net,Ashley Benson,celebrity,F
iyavillania,iyavillania.com,IyaVillaniaArellano,celebrity,F
usainbolt,usainbolt.com,Usain St. Leo Bolt,celebrity,M
lancearmstrong,mellowjohnnys.com,Lance Armstrong,celebrity,M
paulwesley,,Paul Wesley,celebrity,M
